,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp40-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp20-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc
Transmission lines,9.026724644883931,9.026213579849312,9.02554727238614,9.026016525837623,9.026105926163785,9.02017093273793,9.027627263988023,9.03129298606314,9.029313177854213,9.026764210195623,9.027555425264483,9.029698467016933,9.030520591053367,9.026828257755861,9.026112804941842,9.03392317975712,9.033844523929979,9.031300298018103,9.029534096958853,9.027269910936575,8.984420820980937,8.994549890436364,9.009212925014708,9.023781649956454,9.026482550518445,9.01192077343258,9.020851624782493,9.02108772668312,9.025903725970382,9.025730212689655,9.02020656974671,9.023023909350725,9.022889872920809,9.025452758109358,9.025567213561644,9.026547818189195
Electricity distribution grid,50.128336675703224,50.24339538212461,50.33886752489129,50.41002639746382,50.446805088164886,49.985986823426444,49.826997149357226,50.0491732844829,50.35644670467991,50.46166900479628,49.821277356262605,49.99030098737366,50.19021253220242,50.37791048410641,50.471363963405814,47.28138458683186,47.99607526533679,48.73298117403103,49.64239083832361,50.10747084427857,44.35836725085373,45.93837239810372,47.3735807134373,48.84121633509045,49.66794821019973,40.88725901961715,43.19460215539853,45.64011752706334,48.248097642300436,49.376966659098535,45.84717547552819,47.03420947221263,48.20727957949341,49.3699925856852,49.933770245392594,50.49506317231279
Oil and gas to power/heat,71.32798618265542,71.32761063249288,71.34175934045916,71.35545783217364,71.36786701446226,71.70084844730286,71.68907429730803,71.62098869475867,71.51072205709013,71.44274740612532,71.88734561320794,71.75777511081594,71.64239126491177,71.53315776169332,71.43294049567619,70.0335219916615,70.35301615299105,70.70054356311473,71.04048832404405,71.21059139972333,72.88180815048788,72.07057628016281,71.44995874643627,71.20610508509165,71.30198356659685,65.69522766950917,66.68080106095181,68.26254773681157,69.80553245538565,70.56256744156559,72.37662967714849,70.0017090561851,70.45512882375102,70.91737093223931,71.14279477086149,71.37676751210806
Power to liquid,23.139181683360967,23.25308117939388,23.37504900435246,23.508688610171497,23.577425990814625,20.05975954584795,21.146548521152827,21.96729270113475,22.75457408643586,23.179318751010335,22.065958094563204,22.463818277447473,22.822074416117857,23.195656838968652,23.398902055658755,23.177615618640218,23.29728818693421,23.41431584077175,23.53062696120915,23.58672888031648,18.96500135438042,20.19368926202021,21.432081046443816,22.65230885767964,23.129480936386123,20.964948420637974,21.522348424493508,22.174612922187936,22.916581847108546,23.262722680682476,23.025832649168432,23.17235567894871,23.318981237949693,23.483304028274866,23.566926778263973,23.644360847501083
Biomass,51.563758729709534,51.572745653193806,51.58727807199709,51.591713669365376,51.59478732945588,50.04264007270095,51.11453644500905,51.3691988493406,51.50341066952596,51.555470829799035,51.38903075659406,51.461592923564936,51.51391082737164,51.56404561240233,51.584350204313296,51.761840286807015,51.738079355571756,51.685386305447096,51.64396723298352,51.617881035455625,59.614521354433485,58.10440672206119,56.484524608302955,54.51782692297387,53.18505617338771,50.09405146701798,51.09971380248118,51.11101750248896,51.49903058468778,51.57736180298036,51.85172832702233,51.80347721125932,51.76573578127659,51.68454735252756,51.63654612617489,51.5983297957468
BEV charger,0.013948831205428483,0.014051084728556491,0.01377445555054064,0.014055906505664583,0.013938263072549006,0.013723020977154254,0.013917593404358858,0.013633195729065186,0.013932068088918306,0.013774109511790446,0.013304738212089731,0.013758784114278362,0.014042222948232529,0.013327389863859805,0.013332107108722163,0.010380699985525751,0.010699990042001175,0.011555650705762794,0.013012526091939381,0.013483576860123907,0.013580899503273918,0.013778995019714455,0.013230899271171112,0.013523338665071775,0.013308469922237961,0.013521773658048866,0.013391240164871494,0.013210648837203067,0.013991654098182803,0.013623606932342458,0.01369716805752956,0.013976637177970425,0.013719166073264176,0.013932260358820394,0.013764725415694158,0.014056392136615477
V2G,0.0019447167607294091,0.0020199018765023357,0.00198415740051262,0.0020240581252488473,0.002004741610946755,0.0019389870713781873,0.001917546857299628,0.0019527233309949521,0.001999362459375119,0.001983850083796623,0.00198179149137109,0.001970480843472315,0.0020121464542184582,0.0020035856160698835,0.002008009744307751,0.0029520930098216012,0.0026647392547107652,0.002425641279355018,0.0021501779013584185,0.0020500086649743814,0.0018099689935758383,0.0018622926728102812,0.0019089303802709342,0.001967000709560694,0.0019850762483329828,0.0017581240203363637,0.0018488062366885864,0.001892608139997425,0.001967143714263419,0.0019437972059810607,0.0019150457659431787,0.00195501365577201,0.0019540936499405463,0.0019303591086397304,0.001975413808967918,0.0020244904252614063
DAC,3.3284282456036514,3.5466437576749086,3.7814331124112126,4.033048587843883,4.161961347377562,1.0716610196824359e-05,8.964670670855808e-08,1.0124187373706113,2.561102488927747,3.393762145460126,0.015025178047149966,1.090543200676943,2.085860473813448,3.1141667803703275,3.668506271727785,3.465360079254446,3.677289087001365,3.881781563750589,4.08725945164861,4.181047040920042,4.638867720852449,3.9532021012516987,3.851834940353487,3.5192531192219345,3.8527552784266623,2.9920437866557687e-07,0.4840677525444011,1.5751556467387178,2.850487612745642,3.5336988776081353,3.3009648770895894,3.5259165295764783,3.748372571975556,4.013745649534764,4.155218389576774,4.284845293321943
Power to heat,102.37889235770966,102.87140092401087,103.31700167972356,103.75841456923283,103.96367932120563,102.50767354256513,102.10282470752362,102.87085084040274,103.62275796518006,103.91657693770591,102.23591495959873,102.6431307990121,103.23716730663696,103.78654683597134,104.01863915000725,105.0031456742396,104.8229819970131,104.68396903727988,104.45609367989725,104.29478943050825,101.04432603788031,101.4752012899202,101.89113920431723,102.63562609263288,103.54320342260954,57.17287905371583,68.95310745329921,80.51829682996963,92.1172269256936,98.2074308326859,105.11030440268551,104.77628816225668,104.68208576283286,104.51080238642376,104.3351280111669,104.16839693706659
Heat storage,21.654640633502304,21.751482490969654,21.823329803224237,21.870495634439077,21.89457543623807,19.72647252251418,20.05750487985468,20.817525725016022,21.478653934912,21.786016532645775,20.7252088966445,20.899829206015887,21.281435507908267,21.733391195974868,21.8783166551194,21.343037471874563,21.464749618684973,21.608635265142322,21.776154947332937,21.86084318243544,16.869695510819863,17.962780776493062,19.197655230811808,20.386784510621393,21.141463890618677,11.741935818122027,14.3858317513884,17.219627132998195,19.351755075959993,20.690604354874473,21.02621271932667,21.213716616970316,21.426826085199995,21.66519509161275,21.809501198249826,21.920645467822258
