,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp50_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp45_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp35_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp25_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp20-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp15_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp50_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp45_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp35_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp25_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp15_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp50_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp45_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp35-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp25-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp15_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc
Transmission lines,9.03571104773837,9.033878594580827,9.031380042646589,9.029862044929272,9.028564886075367,9.027552645440737,9.026713238155677,9.026459838045218,9.026263675903222,9.02641674181779,9.043722592386924,9.050312833279866,9.04877946379132,9.044301722238753,9.041392809023176,9.036542817321138,9.03017876127813,9.027192807049653,9.026965589144316,9.025270448743214,9.033240681306925,9.032968527812686,9.03304290464509,9.032065165306141,9.03071388312527,9.029175481043678,9.027862960815213,9.027182455796831,9.026544383626316,9.026508521012815,9.026547818189195
Electricity distribution grid,48.622240003492195,49.04884614034715,49.473772078503984,49.863889429978165,50.14174894168334,50.300361287392825,50.391926359870595,50.43567764939286,50.472092151356776,50.48613509270195,46.35154893338825,47.45857968809939,48.334023556274076,49.05171722684499,49.60174669643916,49.96528307762243,50.201048478425584,50.38424590331018,50.445485296593986,50.466251447394804,49.11799794277641,49.40713914702272,49.643814568539284,49.86101291353674,50.075062114265734,50.24404479025396,50.36335101894786,50.43940784972723,50.48281845957708,50.49272095426145,50.49506317231279
Oil and gas to power/heat,70.4947396632962,70.67528586189579,70.82518274226632,70.99263008687227,71.12831214142881,71.22724495354426,71.29983192275864,71.34104499181589,71.36713027412652,71.4330273976334,64.43746060449071,65.21733470715441,66.09535087057307,67.04774939770626,68.08899254430442,69.21097624960336,70.38706587157996,70.6315188596246,71.05071706834723,71.29109948591963,70.55005273385663,70.66241042873742,70.80020606186403,70.91505862733547,71.0131062657721,71.11842710411776,71.20267959841635,71.29366605110468,71.3525336299642,71.37403433427384,71.37676751210806
Power to liquid,23.339682423964284,23.408194564704928,23.467648458907156,23.52722250382441,23.568308895249714,23.597931172088238,23.61934405781033,23.635142032991396,23.64263047367538,23.643954984109655,21.96011136224883,22.36752123456722,22.690534356677738,22.9866456505314,23.23211861573221,23.409196849818212,23.532241251977496,23.58510338289787,23.624714522943652,23.640967669812216,23.38493836557594,23.434953255800867,23.48002212748459,23.51849240746992,23.54670760821631,23.57725209697169,23.60671238848905,23.631249431420585,23.641204294051498,23.6428886390312,23.644360847501083
Biomass,51.674253325339905,51.64574287830295,51.62712162875559,51.606596298130654,51.59661549297786,51.59112392184555,51.58445472599413,51.58801379123017,51.59443985072647,51.597879076255474,50.93909998329374,51.14218550052475,51.31918395904793,51.43345104071697,51.514376262840436,51.564509592872724,51.58554831693253,51.59940810109755,51.603651615539064,51.59776732069502,51.69535610672588,51.666394887943646,51.65116561506325,51.6353111954261,51.624385799407094,51.60803685454025,51.5980661337843,51.592825946661584,51.5937043695214,51.5979189370701,51.5983297957468
BEV charger,0.012083421327749122,0.01247847752805087,0.01263774594669655,0.01320285558169316,0.013028196989719739,0.013790211863549137,0.013693924093827678,0.013299935968995756,0.013322638952039367,0.013343428120739418,0.013807504832802683,0.013235741140810784,0.013882290944993506,0.013724741324837966,0.01355442850234086,0.013935317824913807,0.013760887018480421,0.013933419483472978,0.014053670068096415,0.013332352051762562,0.013310676881085046,0.013756177771663783,0.013758173772274042,0.01363610990934994,0.013320849424037896,0.013324342667388606,0.013647570778193641,0.013935584816798848,0.013652671391139947,0.013332144502930564,0.014056392136615477
V2G,0.0022319483212536848,0.002151140709907391,0.0021239468829992022,0.002043050785873186,0.0020371187534903926,0.0019650065807629356,0.0019904554219742445,0.0020089682996331376,0.002007296782202427,0.002019678742123339,0.00188971439636171,0.0019179245548842628,0.0018879624782838274,0.001940357160410902,0.0019960366603856985,0.0019339846225257748,0.001990063638715351,0.002000219094161919,0.002022094893389144,0.002008460527891164,0.0019872663810972906,0.0019679957299107704,0.001969720317506381,0.0019551913290897756,0.001997112598588343,0.002000518557421782,0.0019651341807198257,0.00200245303342771,0.0019696139086704894,0.0020081833671074514,0.0020244904252614063
DAC,3.7097448705731493,3.8365003082836497,3.9494321206447225,4.057554934827516,4.1362581851422595,4.189412479249546,4.231651957266587,4.266221002098133,4.281743852369452,4.286323321080603,0.9454105404348476,1.6956222109480885,2.327262511926835,2.9283214590004154,3.430700520534789,3.7960982665127823,4.0596649206327236,4.169733881983252,4.245083132034245,4.277727092365813,3.8118646363301623,3.8888033908329094,3.9632645743805424,4.0319380628769705,4.093228495483009,4.153831071395476,4.210595740680666,4.257951449328104,4.276808849601038,4.284216559304042,4.284845293321943
Power to heat,104.79681984304554,104.67869598222869,104.56213835171513,104.45122681937393,104.35833209064091,104.29173763453224,104.23682927767557,104.20472794334029,104.18842470524847,104.17342514084017,89.88092656710842,94.8766747361047,98.60292101367244,101.06277375394768,102.421081538704,103.17278656793657,103.6900455747729,103.98042162326885,104.09244227988154,104.15340324001868,104.68068818942969,104.60511839462784,104.51251371054803,104.4139980729327,104.37007402657507,104.29710041070308,104.2319368840349,104.18483340259584,104.18029610155531,104.17008792600556,104.16839693706659
Heat storage,21.679970003026366,21.69054026721053,21.744741025785153,21.799242871128033,21.846073871355113,21.878480043219902,21.891440828688307,21.90062381405033,21.90881039430472,21.910367180688258,15.630985953582789,17.208776987750174,18.631656195108725,19.686473819112226,20.470411263177326,21.03819541956175,21.410625259293116,21.675690422033597,21.794112111554252,21.89022105689444,21.71988018886438,21.76132921337852,21.806960023062913,21.83909242026172,21.839682545994865,21.843136060845314,21.871560521991984,21.913703226834876,21.923379281672144,21.92045415364305,21.920645467822258
