,sens_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemItranIp0.1-wv2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.1_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.08_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.06_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.04_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.02_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.1-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.08-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.06-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.04-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.02-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-nov2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc
Transmission lines,9.015784023474172,9.02776255577823,9.02892024218212,9.02731863300037,9.027863164549926,9.026807249700004,9.001421397955685,9.005033446088397,9.012585597796964,9.016897150885447,9.02248198291118,9.040222756281153,9.026547818189195
Electricity distribution grid,50.69613379397358,50.37861653364568,50.33140851707127,50.3074369547544,50.33242097927032,50.347038064687915,51.12724588453696,50.9886941939993,50.83686538099084,50.6722466855577,50.520337915082834,49.86481688343033,50.49506317231279
Oil and gas to power/heat,71.0340504336668,70.23893316249543,70.40207316106874,70.51104820108637,70.78289497311171,71.07569712953561,70.81602058590926,70.92428160604749,71.02530643470907,71.1476242874814,71.25635669999353,71.05269266084196,71.37676751210806
Power to liquid,23.672944125470146,23.399837267672112,23.429720150344686,23.469575054363347,23.50347843909936,23.56149639734562,23.63553439922204,23.618950223154886,23.62816274040697,23.629327823235002,23.636179920349456,23.36244574780659,23.644360847501083
Biomass,51.61776764700227,51.68066668375919,51.69122412757926,51.6955839523815,51.678802934696215,51.662322677523164,51.6369436781972,51.646509140160894,51.636592213606605,51.61496965370043,51.61158335803704,51.62960371810042,51.5983297957468
BEV charger,0.014612275419039885,0.012852249876633793,0.012861107438853223,0.013522125400018759,0.013846384885596582,0.01357433248909094,0.013176165287920674,0.013364936747927965,0.01335498755829757,0.013452646746573762,0.013490247003730575,0.011151771607059316,0.014056392136615477
V2G,0.002967993129239855,0.0018393402142532992,0.0018476636323676607,0.001854528896287969,0.0019217720597327762,0.001901066791366219,0.00160617171023858,0.001714981801217196,0.0018142456437197575,0.0018857807549033088,0.0019376802367212873,0.0,0.0020244904252614063
DAC,4.380293715042956,3.827360103919349,3.884224722006749,3.9590997592835504,4.030946074365972,4.135149809962558,4.3786536070376645,4.341869390115843,4.33936428859019,4.3252372735747295,4.312461126807389,3.7266255906882106,4.284845293321943
Power to heat,104.48076630120042,103.72331887717755,103.72714148443968,103.69806363636806,103.6557457525214,103.71057660072748,104.30283380831293,104.31932962924837,104.27836248193547,104.24701123083304,104.22053535864353,104.73432757758565,104.16839693706659
Heat storage,21.32841143449715,20.36102532604856,20.570480064453733,20.814519147368536,21.133081296735067,21.507808328653763,21.30930163598916,21.42374973603301,21.51768597561427,21.65959728785157,21.74889211621208,22.641052717618592,21.920645467822258
H2 storage,3.8392026676244977,3.6678000277762246,3.6752806043756734,3.710245800975521,3.7313216298612026,3.7607519733758736,3.8043726114574774,3.789774507773984,3.7676689300941497,3.770188751686365,3.774769398457129,3.728794604294286,3.780971576310723
