,elec-Base,elec-p05,elec-p10,elec-p20,elec-p30,elec-p40,heat-Base,heat-p05,heat-p10,heat-p20,heat-p30,heat-p40,tran-Base,tran-p05,tran-p10,tran-p20,tran-p30,tran-p40
AL0 0,1500873.037373254,1425829.3855045913,1350785.7336359287,1200698.4298986034,1050611.1261612778,900523.8224239524,2384054.0546983187,2264851.3519634027,2145648.649228487,1907243.2437586552,1668837.8382888231,1430432.4328189914,1058237.5371381342,1005325.6602812277,952413.783424321,846590.0297105076,740766.275996694,634942.5222828806
AT0 0,16679512.344721235,15845536.727485172,15011561.110249113,13343609.875776991,11675658.641304865,10007707.40683274,47348098.51809448,44980693.59218976,42613288.66628504,37878478.81447559,33143668.962666135,28408859.11085669,12771227.620705271,12132666.239670007,11494104.858634744,10216982.096564217,8939859.33449369,7662736.572423162
BA0 0,2928578.800821551,2782149.8607804733,2635720.920739396,2342863.040657241,2050005.1605750858,1757147.2804929307,6480743.590488697,6156706.410964262,5832669.231439827,5184594.872390958,4536520.513342088,3888446.154293218,1767117.9488907806,1678762.0514462413,1590406.1540017026,1413694.3591126245,1236982.5642235463,1060270.769334468
BE0 0,16730676.955679841,15894143.10789585,15057609.260111857,13384541.564543873,11711473.868975889,10038406.173407905,66888511.3564154,63544085.78859463,60199660.22077386,53510809.085132316,46821957.94949077,40133106.81384924,15302043.804438476,14536941.61421655,13771839.423994627,12241635.04355078,10711430.663106931,9181226.282663085
BG0 0,10395513.561974997,9875737.883876245,9355962.205777496,8316410.849579997,7276859.493382497,6237308.137184997,12838576.455851657,12196647.633059073,11554718.810266491,10270861.164681327,8987003.51909616,7703145.873510994,4807707.8809411265,4567322.486894071,4326937.092847015,3846166.304752902,3365395.5166587885,2884624.7285646764
CH0 0,12985710.075892955,12336424.572098305,11687139.06830366,10388568.060714364,9089997.053125067,7791426.045535771,45436056.550732985,43164253.72319633,40892450.895659685,36348845.240586385,31805239.585513085,27261633.93043979,6635849.762730923,6304057.274594377,5972264.786457831,5308679.810184739,4645094.833911646,3981509.8576385537
CZ0 0,13975716.27502488,13276930.461273635,12578144.647522392,11180573.020019904,9783001.392517414,8385429.765014928,53198477.84973308,50538553.95724642,47878630.064759776,42558782.27978647,37238934.49481316,31919086.709839847,10277067.78022552,9763214.391214242,9249361.002202967,8221654.224180415,7193947.446157862,6166240.668135311
DE0 0,119273715.21335377,113310029.45268607,107346343.69201839,95418972.17068301,83491600.64934763,71564229.12801225,458614347.0137328,435683629.6630461,412752912.31235945,366891477.61098623,321030042.90961295,275168608.2082397,82558584.341445,78430655.12437274,74302725.9073005,66046867.473156,57791009.03901149,49535150.604867
DK0 0,6878507.7642660905,6534582.376052786,6190656.987839481,5502806.211412871,4814955.434986262,4127104.6585596534,20778498.6578059,19739573.724915605,18700648.792025313,16622798.92624472,14544949.060464129,12467099.19468354,4376904.853649922,4158059.6109674256,3939214.3682849295,3501523.8829199374,3063833.397554945,2626142.912189953
DK1 0,3378669.4486545334,3209735.9762218064,3040802.50378908,2702935.5589236263,2365068.6140581733,2027201.6691927197,11150829.045803612,10593287.593513431,10035746.141223252,8920663.23664289,7805580.3320625285,6690497.427482167,2334795.2040285673,2218055.4438271387,2101315.68362571,1867836.1632228538,1634356.642819997,1400877.1224171403
EE2 0,2164943.543773901,2056696.366585206,1948449.1893965108,1731954.835019121,1515460.4806417306,1298966.1262643407,6551466.270741306,6223892.957204241,5896319.643667176,5241173.016593046,4586026.389518915,3930879.762444784,1176932.3074465015,1118085.6920741764,1059239.0767018513,941545.8459572012,823852.615212551,706159.3844679008
ES0 0,69552011.25997749,66074410.69697861,62596810.13397974,55641609.007981986,48686407.881984234,41731206.75598649,82289628.26421411,78175146.85100342,74060665.43779272,65831702.6113713,57602739.784949884,49373776.958528474,41676186.71859821,39592377.382668294,37508568.04673839,33340949.37487857,29173330.703018747,25005712.031158928
ES3 0,2517828.86730671,2391937.4239413748,2266045.9805760393,2014263.0938453684,1762480.207114697,1510697.320384026,1184417.9800994694,1125197.0810944962,1065976.1820895225,947534.3840795759,829092.5860696286,710650.7880596818,581028.3111995773,551976.8956395983,522925.4800796195,464822.6489596618,406719.817839704,348616.98671974626
FI1 0,14974223.029619189,14225511.87813823,13476800.726657271,11979378.423695352,10481956.120733432,8984533.817771513,40835019.572713576,38793268.59407789,36751517.61544222,32668015.65817086,28584513.7008995,24501011.743628144,6923434.078966855,6577262.375018511,6231090.671070169,5538747.263173483,4846403.855276799,4154060.4473801125
FR0 0,122571433.43919173,116442861.76723213,110314290.09527254,98057146.75135338,85800003.4074342,73542860.06351504,327892576.9826378,311497948.13350594,295103319.28437406,262314061.5861103,229524803.88784647,196735546.1895827,75608789.16398725,71828349.7057879,68047910.24758853,60487031.33118981,52926152.41479107,45365273.49839235
GB4 0,88692222.93066877,84257611.78413533,79823000.6376019,70953778.34453502,62084556.05146814,53215333.75840126,271366849.1785148,257798506.71958905,244230164.2606633,217093479.34281182,189956794.42496035,162820109.50710887,61047042.7298553,57994690.59336253,54942338.45686978,48837634.18388424,42732929.91089871,36628225.63791318
GB5 0,1385827.331669028,1316535.9650855763,1247244.5985021251,1108661.8653352223,970079.1321683193,831496.3990014166,7415209.5084431525,7044449.033020996,6673688.557598838,5932167.606754523,5190646.655910206,4449125.705065891,1727851.8847960057,1641459.2905562052,1555066.696316405,1382281.5078368047,1209496.319357204,1036711.1308776033
GR0 0,12222421.88266006,11611300.788527057,11000179.694394056,9777937.50612805,8555695.317862041,7333453.129596036,19337044.670573246,18370192.437044583,17403340.203515925,15469635.736458598,13535931.26940127,11602226.802343946,7470309.665181367,7096794.181922298,6723278.69866323,5976247.732145093,5229216.765626956,4482185.799108819
HR0 0,5090236.547757078,4835724.7203692235,4581212.89298137,4072189.238205663,3563165.5834299545,3054141.928654247,14086745.265348084,13382408.002080679,12678070.738813274,11269396.212278467,9860721.68574366,8452047.159208851,3326905.420340388,3160560.1493233684,2994214.8783063493,2661524.3362723105,2328833.794238271,1996143.2522042326
HU0 0,9434610.228839897,8962879.717397902,8491149.205955908,7547688.183071919,6604227.160187928,5660766.137303938,41160625.03133516,39102593.7797684,37044562.52820165,32928500.025068127,28812437.52193461,24696375.018801097,6966597.445287827,6618267.573023436,6269937.700759045,5573277.956230262,4876618.211701479,4179958.4671726963
IE5 0,6408910.662664219,6088465.129531007,5768019.596397798,5127128.530131375,4486237.463864953,3845346.397598531,18554042.38521987,17626340.26595887,16698638.14669788,14843233.908175893,12987829.669653904,11132425.431131918,6080554.772285093,5776527.033670838,5472499.295056583,4864443.817828074,4256388.340599565,3648332.8633710556
IT0 0,85195522.63525492,80935746.50349216,76675970.37172943,68156418.10820395,59636865.84467843,51117313.581152946,202818202.79516768,192677292.65540934,182536382.51565096,162254562.23613417,141972741.9566174,121690921.67710063,52702594.800219454,50067465.06020848,47432335.32019751,42162075.84017556,36891816.360153615,31621556.88013167
IT6 0,5245113.810706341,4982858.1201710235,4720602.429635706,4196091.048565072,3671579.667494438,3147068.2864238042,5316383.468099893,5050564.294694898,4784745.121289903,4253106.7744799135,3721468.427669924,3189830.080859935,1447632.143339171,1375250.5361722123,1302868.9290052538,1158105.7146713368,1013342.5003374196,868579.2860035026
LT2 0,3105615.765896721,2950334.9776018844,2795054.189307049,2484492.612717377,2173931.0361277047,1863369.4595380323,9330799.793344963,8864259.803677713,8397719.814010467,7464639.834675971,6531559.855341474,5598479.876006978,3461340.6786068017,3288273.6446764614,3115206.610746121,2769072.5428854413,2422938.4750247607,2076804.4071640808
LU0 0,1219822.9591077256,1158831.8111523392,1097840.663196953,975858.3672861805,853876.0713754077,731893.7754646352,4514987.8523889985,4289238.459769549,4063489.067150099,3611990.2819111994,3160491.496672299,2708992.711433399,1513175.688365758,1437516.90394747,1361858.1195291823,1210540.5506926063,1059222.9818560304,907905.4130194548
LV2 0,2243500.9838946173,2131325.9346998865,2019150.8855051557,1794800.787115694,1570450.6887262322,1346100.5903367703,9022334.119886339,8571217.413892021,8120100.707897706,7217867.295909072,6315633.883920437,5413400.471931804,1558842.7113102127,1480900.575744702,1402958.4401791915,1247074.16904817,1091189.8979171487,935305.6267861277
ME0 0,1105393.6778508432,1050123.993958301,994854.3100657589,884314.9422806745,773775.5744955901,663236.2067105058,1012210.2214775998,961599.7104037198,910989.1993298398,809768.1771820798,708547.1550343198,607326.1328865598,355548.57090100506,337771.1423559548,319993.71381090453,284438.8567208041,248883.99963070353,213329.142540603
MK0 0,2336728.7142504193,2219892.2785378983,2103055.8428253774,1869382.9714003354,1635710.0999752935,1402037.2285502516,2849484.7647786248,2707010.526539693,2564536.288300762,2279587.8118228996,1994639.335345037,1709690.8588671745,1014003.2005031299,963303.0404779734,912602.880452817,811202.5604025039,709802.2403521908,608401.9203018779
NL0 0,34393317.28292616,32673651.418779843,30953985.55463354,27514653.826340925,24075322.098048307,20635990.369755693,86569586.53150626,82241107.20493093,77912627.87835562,69255669.225205,60598710.57205438,51941751.91890374,18321801.02335645,17405710.972188625,16489620.921020804,14657440.81868516,12825260.716349512,10993080.61401387
NO1 0,27857422.19344447,26464551.083772246,25071679.974100024,22285937.75475558,19500195.535411127,16714453.316066682,38807692.36794081,36867307.74954377,34926923.13114673,31046153.894352652,27165384.657558568,23284615.420764487,4761714.38584844,4523628.6665560175,4285542.947263596,3809371.508678752,3333200.0700939074,2857028.6315090638
PL0 0,39314146.40971455,37348439.08922881,35382731.7687431,31451317.12777164,27519902.48680018,23588487.845828727,138670844.95568782,131737302.70790339,124803760.46011902,110936675.96455024,97069591.46898144,83202506.97341269,32840501.514482982,31198476.438758828,29556451.36303468,26272401.211586386,22988351.060138084,19704300.908689786
PT0 0,14086905.042038832,13382559.789936889,12678214.537834948,11269524.033631064,9860833.52942718,8452143.025223298,10572791.315017235,10044151.749266371,9515512.183515511,8458233.052013788,7400953.920512063,6343674.78901034,9688481.193607086,9204057.13392673,8719633.074246377,7750784.954885669,6781936.8355249595,5813088.716164251
RO0 0,13730491.28559537,13043966.7213156,12357442.157035833,10984393.028476296,9611343.899916757,8238294.7713572215,45576416.74187504,43297595.90478129,41018775.06768754,36461133.39350004,31903491.71931253,27345850.045125026,10292478.652912103,9777854.720266499,9263230.78762089,8233982.922329682,7204735.057038471,6175487.191747261
RS0 0,11682147.076734956,11098039.722898208,10513932.36906146,9345717.661387965,8177502.953714469,7009288.246040974,15809967.807083787,15019469.416729596,14228971.026375407,12647974.24566703,11066977.46495865,9485980.684250273,3025356.334035267,2874088.5173335033,2722820.7006317405,2420285.0672282134,2117749.4338246863,1815213.8004211602
SE1 0,29316930.044660106,27851083.5424271,26385237.040194098,23453544.03572809,20521851.031262074,17590158.026796065,51132070.13816248,48575466.63125436,46018863.12434624,40905656.11052999,35792449.09671374,30679242.082897488,10760224.852825917,10222213.610184621,9684202.367543329,8608179.882260736,7532157.396978142,6456134.911695551
SI0 0,2299681.1602104614,2184697.1021999386,2069713.0441894154,1839744.9281683695,1609776.812147323,1379808.6961262766,7778095.337101538,7389190.57024646,7000285.803391384,6222476.26968123,5444666.7359710755,4666857.202260922,2917959.530544455,2772061.5540172327,2626163.5774900103,2334367.6244355645,2042571.6713811185,1750775.7183266731
SK0 0,6033425.123493646,5731753.867318964,5430082.611144282,4826740.098794917,4223397.586445551,3620055.0740961875,17970778.267829925,17072239.35443843,16173700.441046935,14376622.61426394,12579544.787480948,10782466.960697956,4395211.140089013,4175450.583084562,3955690.0260801115,3516168.9120712103,3076647.7980623087,2637126.6840534075
