,elec-Base,elec-p0.02,elec-p0.04,elec-p0.06,elec-p0.08,elec-p0.1,heat-Base,heat-p0.02,heat-p0.04,heat-p0.06,heat-p0.08,heat-p0.1,tran-Base,tran-p0.02,tran-p0.04,tran-p0.06,tran-p0.08,tran-p0.1
AL0 0,1500873.037373254,1500873.037373254,1500873.037373254,1500873.037373254,1500873.037373254,1500873.037373254,2384054.0546983187,2384054.0546983187,2384054.0546983187,2384054.0546983187,2384054.0546983187,2384054.0546983187,1058237.5371381342,1058237.5371381342,1058237.5371381342,1058237.5371381342,1058237.5371381342,1058237.5371381342
AT0 0,16679512.344721235,16679512.344721235,16679512.344721235,16679512.344721235,16679512.344721235,16679512.344721235,47348098.51809448,47348098.51809448,47348098.51809448,47348098.51809448,47348098.51809448,47348098.51809448,12771227.620705271,12771227.620705271,12771227.620705271,12771227.620705271,12771227.620705271,12771227.620705271
BA0 0,2928578.800821551,2928578.800821551,2928578.800821551,2928578.800821551,2928578.800821551,2928578.800821551,6480743.590488697,6480743.590488697,6480743.590488697,6480743.590488697,6480743.590488697,6480743.590488697,1767117.9488907806,1767117.9488907806,1767117.9488907806,1767117.9488907806,1767117.9488907806,1767117.9488907806
BE0 0,16730676.955679841,16730676.955679841,16730676.955679841,16730676.955679841,16730676.955679841,16730676.955679841,66888511.3564154,66888511.3564154,66888511.3564154,66888511.3564154,66888511.3564154,66888511.3564154,15302043.804438476,15302043.804438476,15302043.804438476,15302043.804438476,15302043.804438476,15302043.804438476
BG0 0,10395513.561974997,10395513.561974997,10395513.561974997,10395513.561974997,10395513.561974997,10395513.561974997,12838576.455851657,12838576.455851657,12838576.455851657,12838576.455851657,12838576.455851657,12838576.455851657,4807707.8809411265,4807707.8809411265,4807707.8809411265,4807707.8809411265,4807707.8809411265,4807707.8809411265
CH0 0,12985710.075892955,12985710.075892955,12985710.075892955,12985710.075892955,12985710.075892955,12985710.075892955,45436056.550732985,45436056.550732985,45436056.550732985,45436056.550732985,45436056.550732985,45436056.550732985,6635849.762730923,6635849.762730923,6635849.762730923,6635849.762730923,6635849.762730923,6635849.762730923
CZ0 0,13975716.27502488,13975716.27502488,13975716.27502488,13975716.27502488,13975716.27502488,13975716.27502488,53198477.84973308,53198477.84973308,53198477.84973308,53198477.84973308,53198477.84973308,53198477.84973308,10277067.78022552,10277067.78022552,10277067.78022552,10277067.78022552,10277067.78022552,10277067.78022552
DE0 0,119273715.21335377,119273715.21335377,119273715.21335377,119273715.21335377,119273715.21335377,119273715.21335377,458614347.0137328,458614347.0137328,458614347.0137328,458614347.0137328,458614347.0137328,458614347.0137328,82558584.341445,82558584.341445,82558584.341445,82558584.341445,82558584.341445,82558584.341445
DK0 0,6878507.7642660905,6878507.7642660905,6878507.7642660905,6878507.7642660905,6878507.7642660905,6878507.7642660905,20778498.6578059,20778498.6578059,20778498.6578059,20778498.6578059,20778498.6578059,20778498.6578059,4376904.853649922,4376904.853649922,4376904.853649922,4376904.853649922,4376904.853649922,4376904.853649922
DK1 0,3378669.4486545334,3378669.4486545334,3378669.4486545334,3378669.4486545334,3378669.4486545334,3378669.4486545334,11150829.045803612,11150829.045803612,11150829.045803612,11150829.045803612,11150829.045803612,11150829.045803612,2334795.2040285673,2334795.2040285673,2334795.2040285673,2334795.2040285673,2334795.2040285673,2334795.2040285673
EE2 0,2164943.543773901,2164943.543773901,2164943.543773901,2164943.543773901,2164943.543773901,2164943.543773901,6551466.270741306,6551466.270741306,6551466.270741306,6551466.270741306,6551466.270741306,6551466.270741306,1176932.3074465015,1176932.3074465015,1176932.3074465015,1176932.3074465015,1176932.3074465015,1176932.3074465015
ES0 0,69552011.25997749,69552011.25997749,69552011.25997749,69552011.25997749,69552011.25997749,69552011.25997749,82289628.26421411,82289628.26421411,82289628.26421411,82289628.26421411,82289628.26421411,82289628.26421411,41676186.71859821,41676186.71859821,41676186.71859821,41676186.71859821,41676186.71859821,41676186.71859821
ES3 0,2517828.86730671,2517828.86730671,2517828.86730671,2517828.86730671,2517828.86730671,2517828.86730671,1184417.9800994694,1184417.9800994694,1184417.9800994694,1184417.9800994694,1184417.9800994694,1184417.9800994694,581028.3111995773,581028.3111995773,581028.3111995773,581028.3111995773,581028.3111995773,581028.3111995773
FI1 0,14974223.029619189,14974223.029619189,14974223.029619189,14974223.029619189,14974223.029619189,14974223.029619189,40835019.572713576,40835019.572713576,40835019.572713576,40835019.572713576,40835019.572713576,40835019.572713576,6923434.078966855,6923434.078966855,6923434.078966855,6923434.078966855,6923434.078966855,6923434.078966855
FR0 0,122571433.43919173,122571433.43919173,122571433.43919173,122571433.43919173,122571433.43919173,122571433.43919173,327892576.9826378,327892576.9826378,327892576.9826378,327892576.9826378,327892576.9826378,327892576.9826378,75608789.16398725,75608789.16398725,75608789.16398725,75608789.16398725,75608789.16398725,75608789.16398725
GB4 0,88692222.93066877,88692222.93066877,88692222.93066877,88692222.93066877,88692222.93066877,88692222.93066877,271366849.1785148,271366849.1785148,271366849.1785148,271366849.1785148,271366849.1785148,271366849.1785148,61047042.7298553,61047042.7298553,61047042.7298553,61047042.7298553,61047042.7298553,61047042.7298553
GB5 0,1385827.331669028,1385827.331669028,1385827.331669028,1385827.331669028,1385827.331669028,1385827.331669028,7415209.5084431525,7415209.5084431525,7415209.5084431525,7415209.5084431525,7415209.5084431525,7415209.5084431525,1727851.8847960057,1727851.8847960057,1727851.8847960057,1727851.8847960057,1727851.8847960057,1727851.8847960057
