,elec-Base,elec-p05,elec-p10,elec-p15,elec-p20,elec-p25,elec-p30,elec-p35,elec-p40,elec-p45,elec-p50,heat-Base,heat-p05,heat-p10,heat-p15,heat-p20,heat-p25,heat-p30,heat-p35,heat-p40,heat-p45,heat-p50,tran-Base,tran-p05,tran-p10,tran-p15,tran-p20,tran-p25,tran-p30,tran-p35,tran-p40,tran-p45,tran-p50
AL0 0,1500873.037373254,1500789.961754962,1500357.9693424278,1498517.167654498,1493190.5851599406,1483041.8797391902,1467475.750744737,1447577.673439842,1424333.0586570813,1396969.7143795574,1365138.7497240696,2384054.0546983187,2383833.6361275497,2382747.5140483673,2379959.033197015,2374626.760038775,2364311.503005066,2347168.6563702542,2320117.1517517115,2279498.759085805,2222007.424650604,2145461.4239381272,1058237.5371381342,1058123.9343715454,1057437.0774296194,1055117.5623153818,1050225.9532927214,1041845.2703879362,1026372.4958631336,999798.2399261442,959978.549361706,911071.0727824597,859616.1701494025
AT0 0,16679512.344721235,16678161.037787963,16671481.670798486,16644795.536654176,16571612.086785719,16440484.500494003,16246993.555572016,16004942.79931973,15727763.554641906,15409683.820522375,15048795.246781375,47348098.51809448,47343451.58250917,47319800.13629815,47258426.66591778,47141300.934289806,46916174.01653939,46546337.87470203,45979085.810159564,45148959.72917967,44005213.52140087,42506183.692761794,12771227.620705271,12769788.684748782,12761162.528214183,12732587.46660056,12672837.405799711,12570975.193835711,12383159.702465447,12060562.975900538,11578817.285098169,10989117.846329805,10369104.879708396
BA0 0,2928578.800821551,2928360.087870935,2927274.7207119213,2922874.179193788,2910724.599973063,2888633.4273685543,2855595.50913153,2813875.5687767444,2765647.9549579695,2709656.0814297814,2645390.4540203395,6480743.590488697,6480029.876463782,6476550.60832333,6467590.472460397,6450519.175774379,6417372.2760932,6362481.770654144,6276790.349352093,6149172.8441594,5971414.69044519,5737558.020355735,1767117.9488907806,1766922.2223475208,1765752.192286059,1761839.5807922236,1753620.128646329,1739565.7113951584,1713624.667617851,1669094.4166458198,1602482.6018017773,1520815.499804336,1434926.9894878562
BE0 0,16730676.955679841,16729377.8789448,16723038.477274626,16698226.497308204,16629745.481505165,16504902.235687578,16318711.69782842,16085116.503105206,15816564.925503056,15505399.046907097,15149168.461038327,66888511.3564154,66880012.720525734,66837708.53993321,66730012.47478565,66525487.05268559,66139654.390074156,65515320.88504219,64577509.48166084,63242063.29835454,61435165.64579627,59109758.21160018,15302043.804438476,15300341.21834296,15290114.09864613,15256015.708603753,15184597.075466778,15062624.723387728,14837624.417290458,14451078.594527192,13873597.85708781,13166310.607781233,12422549.905203775
BG0 0,10395513.561974997,10394605.253404383,10390225.301867153,10373334.723646203,10328843.371944964,10251344.17554383,10137399.362483542,9994601.849429727,9829584.443552464,9636980.769759877,9415534.12790493,12838576.455851657,12837479.269475449,12831936.922017086,12817501.6771736,12789834.109285256,12735400.083252944,12643061.056171346,12495864.881102154,12271670.586663395,11951201.81111675,11523068.81724276,4807707.8809411265,4807202.584906489,4804167.275774844,4794063.891997219,4772476.525268249,4735126.6901802495,4666899.099822186,4549368.257374087,4371773.616197986,4153701.467949008,3923769.8158205403
CH0 0,12985710.075892955,12984666.025339067,12979680.122737437,12959656.29660931,12905123.194015574,12807982.947139261,12665109.424178466,12487098.418573976,12282979.468421463,12046864.624107555,11777462.54905738,45436056.550732985,45431695.61749758,45409663.82602986,45353478.114532866,45246214.74058962,45041283.08820521,44706110.80326402,44192000.76988771,43439155.474686444,42398359.85472424,41030523.91558054,6635849.762730923,6635101.980655628,6630620.64359991,6615787.517147443,6584788.091356333,6531995.698154018,6434597.75130346,6267135.788685849,6016910.239745278,5710643.431519227,5388636.084410677
CZ0 0,13975716.27502488,13974657.202184353,13969385.778292466,13948044.119723115,13889276.806684688,13783284.611040067,13625916.68179518,13428636.30025063,13202349.031300139,12941534.010986406,12644124.063083429,53198477.84973308,53192522.163212776,53163091.025239676,53086655.52703744,52941166.61132161,52663078.28747061,52207158.60775311,51512041.992767476,50503890.27960031,49125030.56318721,47331059.727314785,10277067.78022552,10275902.172653895,10268929.121195927,10245870.018567786,10197663.20383991,10115420.245303206,9963919.233860992,9703921.417239835,9315795.503089169,8840767.949523125,8341329.998749426
DE0 0,119273715.21335377,119264223.22555521,119217760.95862222,119030268.59815302,118513564.3817231,117582021.96856675,116202000.79904228,114473712.47692299,112492370.2539365,110216224.52855036,107632667.27762294,458614347.0137328,458562456.85409606,458301506.99372435,457616694.66691196,456315023.70563054,453829753.7968291,449762080.7615063,443584982.3895082,434695369.8254094,422594904.4009335,406948913.66446626,82558584.341445,82549313.51698735,82493603.87821537,82308782.74403933,81922294.98920134,81262732.29857823,80047194.65579957,77959618.41766973,74842268.29501137,71026042.04909024,67013363.83263431
DK0 0,6878507.7642660905,6877872.623359082,6874772.860412562,6862884.720696488,6831328.803334546,6776122.520290257,6695755.971647004,6595715.940607716,6481207.332250221,6349737.315920761,6200677.33963676,20778498.6578059,20776276.032456003,20765042.959689762,20736215.08507897,20681345.601466026,20577009.307441026,20407363.42766573,20150353.16852607,19781467.105996117,19278501.47233662,18626370.7758201,4376904.853649922,4376418.3628416415,4373481.674045915,4363708.528421083,4343226.204981426,4308276.742110662,4243856.337966839,4133248.4004830103,3968063.1237588497,3765804.381901714,3553136.958925519
DK1 0,3378669.4486545334,3378358.213632624,3376838.9450792284,3371013.015583692,3355535.2704044785,3328429.529928539,3288949.1956181815,3239793.9864743277,3183528.9573814375,3118935.9791381126,3045701.607383776,11150829.045803612,11149603.040064994,11143478.104474103,11127720.39487453,11097651.730018696,11040436.416033853,10947218.594594019,10805530.109128965,10601863.462972898,10323834.873879245,9963227.267803915,2334795.2040285673,2334535.4172918387,2332965.72107031,2327746.621135993,2316811.0935851317,2298149.142761562,2263757.185279983,2204715.1625046115,2116555.49022639,2008625.021363735,1895140.6323136238
