name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp20-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp40-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp40_2050.nc
AC,281887.13535366894,281900.3903878909,281885.4588746924,281922.1240811931,281807.6821194149,281741.3919511602,281892.84266271174,281934.60859440314,282087.31494066847,281973.4189546214,282257.2341444439,281818.2580779442,282032.2090778564,282459.288866067,282951.97458418773,283134.3248538257,281828.9161468785,281688.6979583401,281485.7549595166,281381.14236884663,281318.47287233756,281826.77906891285,281744.88258089946,281538.57474288734,281443.28494554944,281417.0971987124,281767.55918583367,281617.51925816014,281356.9828377334,281411.49976386665,281729.7078198291,281881.026046572,281852.2377606086,281824.63296274346,281745.04248492443,281683.1889972804
BEV charger,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845
DAC,2729.527124292226,2646.9559597270113,2556.841661198786,2387.7856479480697,2246.0743626770673,2102.7792274844464,2251.0389789347873,1815.8113679137437,1003.3975626431474,308.36081848884913,0.00019060025064773266,2454.2752344533055,2241.8394179562915,2453.6944292159583,2518.2718979664264,2955.062290160557,2663.4164855647473,2603.6716737299407,2472.762383280243,2342.4968097482383,2207.498909188278,2336.9030629934314,1983.7784051962135,1328.7314969824533,694.69784474781,9.571281987848915,2161.8948628605262,1631.4697712138222,644.9328351077618,5.710734053278454e-05,0.006826764335678824,2651.2460064201427,2569.128220033731,2408.848488205642,2259.279550494843,2120.280834807725
DC,119967.18390711617,119893.7393137946,119965.11442351333,119766.4268797242,119547.87129102176,118803.36881229338,119529.56093206575,119438.65612681532,118434.22335305599,117309.20008509395,116309.31078966566,120069.47763552236,119990.53659626514,118165.23970767208,117033.39065991089,115973.23969874822,119882.74058924016,120086.83386766126,120075.16384108912,120227.46030251717,120031.9446498586,119849.82636497254,119922.61613789071,120309.44505761747,120296.23557918757,119883.49829061303,119914.00295934772,120095.94668387668,120209.45642893473,119688.0042670337,118906.44463744716,119909.75793276435,119843.08404175595,119766.58265775832,119780.78018785796,119821.91718496325
Fischer-Tropsch,174628.91183121092,173839.83345833138,172982.07506334962,171314.04610966184,169716.24217110028,168116.93270507507,170660.68159409866,167232.544751709,159620.18613723983,151732.5022486018,143963.98513067525,169644.54532527016,165130.39051429532,152872.55975887625,140126.91124549863,127441.0743519175,174022.78922150697,173450.2487976693,172277.27692030196,171086.31680469785,169884.9107574969,175418.68119957292,176610.81290176298,179260.3652418897,181750.09418741163,183837.2563026262,169831.34630610686,165467.8986401326,157276.72437380042,148373.10507506793,137088.48874445047,173937.44027238985,173231.90441860844,171873.60489753957,170594.06063522724,169419.5131024302
H2,19679147.280934215,19493360.820805687,19356182.037499715,18915835.709539346,18255742.781081233,17734998.80741972,18934558.330174197,18240770.56547954,17300956.332946975,16333280.083535973,15142343.01547139,19165083.468298472,18239212.524487134,16623353.532178167,15618210.75119875,14211235.67512606,19471859.113109518,19329696.41232151,19054063.126768287,18708502.28249315,18302402.659361888,19816015.6299425,19827356.718220454,19744738.531503595,19534342.04476884,19350007.278357424,19435219.060638256,19093988.925379343,18407378.442372616,17505686.818462584,16617998.330143278,19629354.201735962,19591966.87889926,19498571.248253956,19417688.058514062,19335285.165071435
H2 Electrolysis,539646.1268574345,537299.5179789114,534741.8630944693,529527.801241194,524529.9943817343,519017.3046387653,531930.7127343323,525028.6140048162,510042.995837542,495139.10319606,481975.3993696043,525281.5740789862,511705.69155494246,480421.97275980265,448372.0473732212,417214.46320800186,538114.6681784152,536750.6613596248,533941.85032481,530877.4387202568,527747.9591209652,533554.3312391343,528144.271115423,517820.61617291666,507028.95475412527,495074.29446104844,530157.7613447167,521230.69988821255,504601.4059838097,488218.3945006189,465063.40368716925,538275.7853917069,536846.4233836198,533942.2996032016,531288.6821331317,528715.210349677
H2 Fuel Cell,0.01951628054800272,0.03023243369807383,0.005484731077182961,0.0025488328265839424,0.03507030227691797,0.7645806476951272,0.00656242753961171,0.00025099293475219667,0.0002900456424226322,0.0003947979518302346,0.00032000516201104124,0.040619328051422855,0.026564521542085644,0.0025428295633455047,0.010537370678006017,0.036700506532432016,0.033760528126680296,0.012305464295005725,0.016682316723566522,0.0001647571626741565,0.004454764887744927,0.04920406037764663,0.006684964122996458,0.006570673603211598,0.024530525167082953,0.0037214592245509758,0.007026954885274493,0.003968129669147035,0.026598890611656135,0.00015247784438059622,0.02159933087275556,0.0401050054469833,6.0706363415972985e-05,0.015881399888273605,0.004528410985585397,0.009729625218592573
Li ion,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647
OCGT,83119.28335492767,81663.45911385854,79348.13887845237,74585.45119300853,71927.97688439702,66810.30268578345,84288.66724285457,86446.21147105802,92921.24905942497,94448.48286972786,96846.70640251391,83119.96449503052,83325.02634650546,81347.10032607215,76770.57526849984,73097.27459535532,81373.71867749597,79181.08655536796,74386.72238147898,70214.1290229699,65514.97752477021,83027.7997763249,82414.25141972495,81949.42094801835,80692.04115790075,79319.99472194622,82468.09046855569,82471.14987760864,81735.31761617957,80745.56511093759,78216.71295803659,83249.5373479603,83331.33675787585,83420.19466415847,83701.88244742129,83644.71375653836
PHS,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073
SMR,10812.377591357983,10465.15002927545,10340.547274482313,9605.921336982112,8765.528014713364,7829.699235315863,9998.611214130195,9475.583101824415,8480.3330563094,6108.211962774631,5601.354477430619,11401.937549907369,13013.641446401236,13358.794044277956,12151.795186176896,12016.954470788096,10459.91664581355,10293.531044125366,9661.056324562729,8619.911300033755,7701.330879793676,11101.37194282868,11369.919621871075,12280.71101839998,14091.344729789349,16168.66247482519,10711.529744012696,10733.52698044652,11358.533896620875,14335.547682007664,15232.151894222832,10785.69072294755,10740.138948871172,10687.959164418507,10557.65304582477,10580.44081502577
SMR CC,16606.22061592293,16513.548268456077,16413.143283766905,16107.356706959588,15879.375192460517,15677.927813618295,16433.750203788615,16282.556578393029,15939.267473256594,14629.385868562416,11907.773669851835,14673.951109717897,11564.509556625013,8451.86263309739,6463.337642511176,4110.46258398178,16496.180925224842,16366.45863334019,16274.956524269928,16161.317981049962,16032.238438104967,16407.57832281445,16253.566206306654,15756.093258347631,14987.899967100864,14548.582864656035,16381.17549281928,16121.324628797654,15305.894471452095,11552.77238163632,9857.393777676363,16567.56338355733,16529.195734831173,16446.337621355455,16379.340045356368,16331.476800861765
