name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-nov2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.02-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.04-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.06-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.08-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.1-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.02_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.04_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.06_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.08_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.1_2050.nc,sens_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemItranIp0.1-wv2g_2050.nc
AC,281887.13535366894,281017.6936146109,282151.185851761,282412.05570841633,282547.1929144173,282871.168290778,282920.7700971623,281826.0250795854,281757.9353883672,281765.5755254356,281648.98504929245,281770.52221653616,282454.2164779144
BEV charger,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845
DAC,2729.527124292226,2373.9352426480823,2747.1249421649322,2755.2599668893145,2764.2637237249733,2765.8620801501843,2789.2909951761444,2634.173753783837,2567.7865350694688,2522.0257316815337,2474.331568865436,2438.1077025581867,2790.333011611368
DC,119967.18390711617,119324.04463613493,119904.30211855793,119660.33370871114,119225.7010098793,118614.28461084764,118360.06884191357,119826.59516603524,119941.55979817809,119826.34744749067,120166.68616809681,120289.53806610932,119598.7726007146
Fischer-Tropsch,174628.91183121092,172300.30121674924,174561.94207798172,174529.99789035885,174482.26908058455,174427.53643542188,174542.43032887048,173804.1006861915,173181.7596184631,172848.7757010277,172451.21335512502,172136.77113532438,174725.16751161104
H2,19679147.280934215,19450591.779615812,19815434.859161917,19963983.6216411,20091281.307931706,20335343.037627365,20463546.991685286,19716206.671574205,19607223.74475614,19585519.438999414,19539853.561683092,19567976.206077896,20118945.126728788
H2 Electrolysis,539646.1268574345,542585.7662204958,537982.342520277,536335.7277208412,534607.1773112067,532762.9243603202,531286.435376027,538186.2779105492,537202.017897759,536553.5633729869,535497.0806662849,534707.1601300761,535553.4257770388
H2 Fuel Cell,0.01951628054800272,0.00524835618405767,0.0008743086918556755,0.0005877498398038116,0.0005926447029550305,0.0007096419263999075,0.0013286535480259778,0.03612123584070834,0.017200233139961427,0.020813309171620078,0.027077733830744275,0.006917195946985591,0.0006562886330269387
Li ion,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,6697891.576090647,7211387.720786312
OCGT,83119.28335492767,77153.0990415254,82372.38607052811,81995.2737276953,81367.5306963834,81640.81150678144,80891.00428930618,83858.54991948359,83471.88980671467,85230.07757735241,82492.79688400555,79172.30406830287,80291.70369565552
