name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp950-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp850-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp750-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp700-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp650-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp600-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp550-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp549-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp500-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp450-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp350-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp250_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp200-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp950_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp850_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp750-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp700_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp650_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp600_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp550-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp500_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp450_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp350_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp250-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp200_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp950_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp850_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp750_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp700_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp650_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp600_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp550_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp500_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp450_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp350_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp250_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp200_2050.nc
AC,5.904225123562242,5.911617887816375,5.911807266000312,5.9113905173782335,5.919859836544415,5.922854578754506,5.920847065027861,5.919678024898213,5.92358388464002,5.926012295262929,5.926306132352774,5.9252976358946325,5.928163543352974,5.931247023766135,5.942713620719768,5.9439910906137055,5.938683600847571,5.929375277020989,5.902748912544992,5.90301829666372,5.904574184932732,5.903680551342011,5.902755155532587,5.902404696063034,5.900091466890506,5.899102055952283,5.897802389939699,5.897380134240528,5.897231606531549,5.8991118482535105,5.898999459726284,5.895863136634918,5.903552545508614,5.922447404470155,5.906817980873021,5.908975160250852,5.92139904341674,5.923144284137239,5.926850799535298,5.924396149300822,5.920122956691383,5.919003286657182,5.922213129076146,5.923491775576928,5.925972201813105,5.927709344593103,5.930357168050906,5.943311565123381,5.942083972589592,5.937830988322008
BEV charger,0.014056392136615477,0.013330107785411816,0.013511591338705414,0.013333142033186357,0.013654621937439193,0.013546494139477526,0.01354771778885972,0.013339392587766695,0.013634713711596837,0.013653553617682007,0.01366710368446911,0.01334783655919779,0.013643993301343698,0.01364061323411376,0.013789373502617781,0.01407722496609924,0.013541141049966916,0.01406234524199912,0.013334092259443155,0.013672720160162414,0.01367536759548588,0.013337064567661575,0.013072382832177924,0.013338404497301603,0.01333819245707016,0.013677630591161716,0.01377615020295434,0.013337662884613098,0.013679434542888601,0.0140658803573501,0.013681981220199159,0.013686610468199889,0.013348941006559763,0.013694014467940703,0.014047158705291288,0.013641710065786978,0.014039104685271288,0.013568847012707122,0.013605011676721821,0.013490455131925396,0.01356226183826767,0.013537686370018297,0.013309456526074232,0.013308050386229923,0.013513565388168888,0.014013496996876791,0.013484121466584568,0.013954666836514905,0.01340062407721464,0.01283364968425958
DAC,4.284845293321943,4.218698715098624,4.203388987751167,4.149213224034681,4.101201737091682,4.073035597376354,4.0394859499228,3.997212933821802,3.972514380511893,3.938522076901054,3.9343849456696027,3.8956901396981616,3.803419822925521,3.669052161817281,3.442762114459834,2.9597583447141522,2.0642614953326017,0.7878450898732305,4.21071745302739,4.192239957429025,4.156164799235862,4.1402601215966905,4.132588251708043,4.1153140290461,4.0969987314575285,4.087937720109589,4.0652902378711,4.050761688223352,4.013656228304285,3.9527341802308573,3.8948316897905415,3.700385618647896,3.0196599608159063,1.836851991347579,4.236084906916822,4.208592690102341,4.142932494279226,4.1058764052285515,4.085073609093296,4.048991481121713,4.023816873478181,3.996189436907685,3.9556170082523794,3.915207921442747,3.8469877222822806,3.734137775900064,3.563921853000944,3.171085259673476,2.2660381261789513,1.1240113758423498
DC,3.1223226946269533,3.1098226579473502,3.109582825792988,3.111369505099864,3.0988149288813243,3.0959903186433024,3.103173124744904,3.1070862904836782,3.10183259209216,3.0989932445976858,3.0985473125704117,3.100854663671337,3.0950596443451723,3.0869477357031165,3.0631100698406746,3.057689503339919,3.061494853811644,3.0685443137580877,3.1255541788438834,3.124948421329429,3.123559165415106,3.1259480729463274,3.12887769380932,3.1311190473147184,3.136597143209172,3.139700120677093,3.1439960605935537,3.1469999925711067,3.149773662903534,3.1476056330933395,3.147092055838763,3.153837869798845,3.141802440528314,3.1062107731805906,3.1180601932728056,3.1144114858772247,3.09369615288385,3.0928533810662495,3.088878380590875,3.0961140731288297,3.106052694403253,3.1093978109941283,3.105111306042536,3.1037432110907623,3.100095041843737,3.095838185889651,3.088225987855297,3.0622582452665674,3.057166390237801,3.0567935401117214
Fischer-Tropsch,17.042717857678554,17.011013338271763,17.0057428096842,16.981031834569652,16.955981743670876,16.942223797016485,16.919839478610367,16.889722970754256,16.873897317556466,16.84884654854996,16.847245100430982,16.826153166916225,16.781035968772514,16.70854963283758,16.57934005464039,16.317482578220883,15.81920481846375,15.146035076847703,17.00386498318888,16.994599746656334,16.97647068893352,16.967912996237082,16.963017023648263,16.9500164916893,16.936683581979043,16.931158731105437,16.91868995620276,16.906762726459437,16.88576720575337,16.851399456030936,16.81173947716358,16.698949555604596,16.31612292627558,15.689847721762078,17.01927082652109,17.00856589144122,16.97742687365756,16.960289743797468,16.94804537925848,16.925480404086997,16.90579980073785,16.881607979754627,16.858677105212234,16.834417421180817,16.80098170488802,16.740737736807933,16.64284874932046,16.42897182839594,15.937647349550705,15.323578896928025
H2,3.780971576310723,3.7406717837640016,3.7329636650736986,3.7050501303471974,3.7158020357442494,3.7340266201971777,3.7459693731904258,3.776001136116659,3.8015163267920866,3.8310146363119006,3.8317705111422145,3.841350650257211,3.8548466510133235,3.8478745535131647,3.8335398434342465,3.827190422415437,3.862336746060697,3.873372571614746,3.7429586061829805,3.7243074295864056,3.7394677736841455,3.7666501793961897,3.7799011136038096,3.795772479629473,3.814088714369275,3.827567968708388,3.8467117789418768,3.8659983094560455,3.9093503312338487,3.9539114468499403,3.956628536018224,3.954972694042031,3.968350767796825,3.969789785394281,3.7327966818079696,3.730404730913598,3.7179991177754155,3.7232978978499554,3.7382078637842886,3.7569263384831024,3.766523306277316,3.8013782782359082,3.824564795513611,3.848367905158916,3.8555609521617074,3.8688187938009144,3.85931179747788,3.836337723084014,3.909555682874971,3.976365176440264
H2 Electrolysis,101.87237479845244,101.75376101413458,101.74146012072748,101.66212723073062,101.59417089315761,101.5711547138185,101.48598651189927,101.38189297189535,101.33134573247106,101.24459561317963,101.24593023411244,101.14931365131572,100.98554878954464,100.74130591770906,100.26570558543482,99.28032550019472,97.51988618038845,95.2646262074089,101.72888372707997,101.69170268295284,101.67984934517166,101.67682413689882,101.6801030624125,101.66901532669903,101.64052115368752,101.63557331220399,101.58631043387314,101.55643254689465,101.49745856708277,101.41536264898163,101.30507878330906,100.91755862900459,99.65039895178585,97.57614106842102,101.74233881395915,101.72460457591382,101.63295568336184,101.5765409418283,101.56777012670089,101.4967133326987,101.41362443696029,101.34564033435706,101.27888737479623,101.18023077300155,101.05330225637913,100.86507167695655,100.49173932440067,99.70567065863129,97.96748418282786,95.88710476480047
H2 Fuel Cell,2.1854978257204262e-06,6.325018212140133e-07,4.877591339018199e-13,1.446199486337558e-14,3.682858516827664e-07,1.2988045685997385e-09,1.2852585658183096e-07,7.880829146640844e-14,5.7763622575009065e-09,0.00018972086197567608,9.69855072501982e-08,8.794878675205375e-08,1.8742570549231787e-12,4.847578044258325e-07,1.2605704194244884e-14,6.866263883843409e-07,3.810449337016521e-09,1.0326313300943094e-07,3.221069495919338e-06,6.37859106339789e-09,5.4801058840460925e-08,1.884567661978375e-06,1.6407398387074824e-07,2.6397498536892186e-06,4.133006046258284e-08,4.1119030306162255e-06,1.308160964079448e-07,9.239648895266449e-07,4.664955185842537e-09,8.525939346286583e-07,2.287123028124034e-08,2.2924973723800585e-06,8.54168061932859e-08,4.100022435799119e-07,3.3880357957371083e-06,6.90077076289839e-08,4.7547010079135944e-08,7.652064920308831e-07,6.339517602246741e-08,1.7096070974746052e-06,4.903536205347896e-08,0.00023256125835892396,7.258704324157e-08,5.5544518215998115e-06,2.8646088668487314e-08,1.9312350056474183e-06,1.631256340317069e-08,1.9689775032477948e-06,2.6629276191468835e-08,1.400395353219429e-06
Li ion,1.7015633334048474e-14,1.1981028507060748e-16,-8.741663795529646e-20,8.146745237524833e-20,2.6376648176385614e-16,-3.9970153407816485e-17,2.3155164471122795e-12,3.211097279056107e-19,1.1356609563866991e-13,4.9608112282944e-13,2.0173868657683303e-12,1.9896204928546677e-12,2.7966626455945038e-18,-4.434578343398247e-17,9.889525513149366e-19,7.210280512027645e-16,2.6401886799054616e-16,2.419742024239005e-12,1.904210301361959e-14,7.03463715013342e-17,3.798328308164712e-16,9.314928344571161e-15,2.6515971907721574e-12,1.0603100428387206e-14,-2.0118335473547848e-16,2.326236552093453e-14,2.8126944546782277e-12,4.295042327456285e-15,-3.8073627853351916e-17,3.2848811457970623e-15,6.503096202586971e-16,1.1073780720537763e-14,1.837446286962774e-12,1.4597424943480395e-15,8.826325737395731e-22,-4.132361222371743e-22,2.7524646993564335e-22,2.1210819111487415e-22,-8.901702967823702e-22,-3.4567939657926875e-22,-5.213541701489605e-22,-5.3427648644857e-22,-7.073430838922995e-22,-6.34655929246985e-22,-2.8790896203713155e-23,-3.371488974114993e-22,-5.875320274021406e-24,-1.9848972682590895e-21,-2.1756289454378686e-23,1.1533852785420977e-21
OCGT,1.643648009307072,1.0604197614228041,0.8767392388716523,0.3774217655716306,0.052127473317862556,0.034201151209168425,0.03274376001899028,0.018729210608928883,4.2833120037154335e-08,0.00030262708679667323,1.9879967415610295e-07,1.2730976840567886e-07,2.49092441591331e-12,5.503546594152715e-07,1.1320771996773061e-14,4.960193568785429e-07,2.8249202544426546e-09,9.57780722442654e-08,0.8755350187034623,0.6856808872803047,0.38526117281190925,0.2621882375473762,0.150248447918892,0.09991975867234879,0.08255634037158747,0.03630389020065218,0.03412421064775341,0.027309739247190584,0.019260228770872384,0.0006296890128833749,0.0003175338653394511,0.0041219668812615354,0.002967780639075188,0.0018431659274257726,1.0871475340680934,0.8606466967855332,0.2660403833357831,0.03407711862056176,0.03436073647848298,0.03299919842384448,0.019401880610124867,0.0012170399044542902,1.5361058842752985e-07,7.908630299938542e-06,3.75254211286878e-08,1.935880771563411e-06,1.4748832111408154e-08,1.4044276960424327e-06,1.916820402194357e-08,9.387835649329065e-07
