name,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-nov2g_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.02-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.04-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.06-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.08-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIelecIp0.1-lowv_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.02_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.04_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.06_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.08_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemIheatIp0.1_2050.nc,sens_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-sdemItranIp0.1-wv2g_2050.nc
AC,5.904225123562242,5.890237365510953,5.909079919330299,5.916388998490433,5.9210456176877,5.929733027128892,5.933667834639663,5.903442287624152,5.902737536303563,5.902775564895295,5.900816653380876,5.9027345073443565,5.916948663080301
BEV charger,0.014056392136615477,0.011151771607059316,0.013490247003730575,0.013452646746573762,0.01335498755829757,0.013364936747927965,0.013176165287920674,0.01357433248909094,0.013846384885596582,0.013522125400018759,0.012861107438853223,0.012852249876633793,0.014612275419039885
DAC,4.284845293321943,3.7266255906882106,4.312461126807389,4.3252372735747295,4.33936428859019,4.341869390115843,4.3786536070376645,4.135149809962558,4.030946074365972,3.9590997592835504,3.884224722006749,3.827360103919349,4.380293715042956
DC,3.1223226946269533,3.1499853907701993,3.113402063580881,3.1005081523950135,3.0915399801092627,3.075300418959506,3.067753563316022,3.123364962075853,3.125125628246363,3.124543068105075,3.128103588801245,3.125028048433873,3.09883536039387
Fischer-Tropsch,17.042717857678554,16.817389048238205,17.038775599906742,17.03615435353827,17.03267266995203,17.027024060943756,17.038263614252376,16.96410216199131,16.906730121800074,16.872312129931743,16.833946693571853,16.803069764667846,17.05430148839602
H2,3.780971576310723,3.728794604294286,3.774769398457129,3.770188751686365,3.7676689300941497,3.789774507773984,3.8043726114574774,3.7607519733758736,3.7313216298612026,3.710245800975521,3.6752806043756734,3.6678000277762246,3.8392026676244977
H2 Electrolysis,101.87237479845244,102.42609682073454,101.55912701118133,101.24916916606246,100.92215916135876,100.5734161544761,100.29607834228946,101.5974631663414,101.41219950385594,101.28923407173436,101.09040251378299,100.94129085325945,101.10155916877774
H2 Fuel Cell,2.1854978257204262e-06,5.877255705594219e-07,9.791105689908041e-08,6.5823815625267e-08,6.637189734966769e-08,7.947330184515232e-08,1.487975224422677e-07,4.045020602854875e-06,1.92612769118602e-06,2.3307311118441516e-06,3.032311549986975e-06,7.746071847266852e-07,7.349842161198506e-08
Li ion,1.7015633334048474e-14,-3.1741285413476253e-15,2.3038597383679173e-12,2.2808721512443727e-12,2.281830174722663e-12,2.7397134595900443e-12,4.194197157732816e-12,4.394269248559701e-14,1.1578091631443163e-14,1.759409830404764e-14,2.3017973086779655e-14,6.511282785413726e-15,-6.391980254149994e-22
OCGT,1.643648009307072,1.525521335470906,1.6282810815253752,1.6205831430040307,1.6080832981539392,1.6135064393989078,1.5986759396998664,1.6575549183728873,1.6498121391327898,1.6846677568584771,1.6304924514090442,1.5646464145354861,1.588057913783056
PHS,10.020521866068977,10.020515484842662,10.02046611042266,10.02046206598479,10.020456771270148,10.020480570400123,10.020476892122982,10.02047815444933,10.020522845690403,10.020471059187114,10.020453930976498,10.020451776989923,10.020457420558204
SMR,0.7374153517216419,0.6428697378216623,0.7796791429037029,0.8181856603999802,0.8633623980970971,0.8998904259068667,0.9437687345235318,0.7347064013191098,0.7247397209468425,0.7300484584908108,0.7492240210037093,0.7610446894866612,0.8009918097906693
SMR CC,1.313971153346029,1.3457754585392308,1.31373205279732,1.3129060828795802,1.305140483611276,1.288090435264543,1.2658049700572396,1.3253432130023957,1.3226712329017007,1.3165393461838837,1.3090471183744479,1.2997458273386164,1.30370492811091
Sabatier,1.3054593232269068e-06,3.006394405929693e-07,7.011071623753614e-10,5.312132577473779e-10,9.375480178768648e-10,5.053091249360834e-10,5.586966040219191e-10,2.555246652704151e-06,1.0292900932801242e-06,1.2402048732248515e-06,2.1383050690760157e-06,4.3502076106874874e-07,6.414706145794273e-10
V2G,0.0020244904252614063,,0.0019376802367212873,0.0018857807549033088,0.0018142456437197575,0.001714981801217196,0.00160617171023858,0.001901066791366219,0.0019217720597327762,0.001854528896287969,0.0018476636323676607,0.0018393402142532992,0.002967993129239855
agriculture machinery oil,0.0009845679939173616,0.0009526149914147437,0.0008282400021084788,0.000849000218668026,0.0008282400021084788,0.0010040299934904347,0.0009008735973963643,0.0008298820672733923,0.0008407680017263627,0.0008298820672733923,0.0009969227234328773,0.0009969227234328773,0.000849000218668026
battery,12.54906766578686,17.89363363785158,11.806584171572766,10.98657791628796,10.235606459658722,9.536535467365395,8.9114930322179,12.356894126424185,12.109402659998727,11.919669823305034,11.768727278633639,11.620977429334664,10.776228091961025
battery charger,3.6198542132709934,5.008140728416263,3.4220885291375374,3.207927635924106,3.0159167672689824,2.836823019293076,2.6732284355338924,3.558936301142272,3.4932154974710077,3.4437806057131453,3.405823925553059,3.369719098391612,3.1544046095613925
battery discharger,0.003143834279530318,0.004767005464400958,0.003182339387759446,0.0030424565685968756,0.0027494739894223857,0.0024589670742968224,0.0022363272434088952,0.0034863225993687617,0.003371466729002469,0.0033571092086857107,0.0031847965756855953,0.0031438474541170686,0.0030203424752068614
biogas,21.57833142816376,21.578395907018212,21.578323427310217,21.57842353708007,21.578270567285657,21.578323448557967,21.578435474304886,21.578435271804427,21.578323314437018,21.578435271862226,21.578331427150474,21.578331428120606,21.57834450055659
biogas to gas,9.536671286217775,9.53674237346329,9.536633921264901,9.536555996685408,9.536633917885526,9.536599968768392,9.536677647497969,9.536538097592137,9.536717767863024,9.536537048093576,9.536600427103116,9.536598721709847,9.536556021380747
co2,7.10360689857115e-15,8.06213390286599e-15,6.195903641303043e-13,5.467514872919731e-13,4.740260621520957e-13,7.031329349467567e-13,1.054456123460749e-12,7.161771076324297e-15,-1.268149248311407e-15,1.4142563421351315e-14,5.844674916996459e-15,1.1937252944045436e-14,3.9984069348821565e-13
co2 sequestered,2.000179273482133,1.9997565773215797,1.9998702346074744,2.0002211790396194,2.000166438929486,2.0000640436349912,1.9998953904210937,2.000032744232238,1.999909515760546,2.0000327442214303,2.0001278510552587,2.000127851032256,2.0000253275483795
co2 stored,0.012811293311807291,0.009488871485247356,0.012031868245828357,0.011321947915816128,0.0106728415130301,0.01060841349284204,0.012451520882882738,0.013453113229006646,0.012783654249936598,0.013362572294840211,0.012751943340573951,0.012723197278441102,0.010453574519608228
electricity distribution grid,50.49506317231279,49.86481688343033,50.520337915082834,50.6722466855577,50.83686538099084,50.9886941939993,51.12724588453696,50.347038064687915,50.33242097927032,50.3074369547544,50.33140851707127,50.37861653364568,50.69613379397358
gas,5.280414158342298,5.280618734795308,5.280044139450008,5.280021336533647,5.280052477237368,5.280046896164594,5.280029886163141,5.280241101049152,5.280971415247208,5.281174854179175,5.280987099446034,5.281449303789952,5.280031014333485
gas for industry,2.0525786675320533e-09,4.685394785318934e-10,7.700301488524471e-11,6.811179732711658e-11,7.436690422705868e-11,8.020068807935963e-11,1.5731453823737542e-10,4.887666021381732e-09,2.2213599806490123e-09,2.4554204546418935e-09,4.6094094969902876e-09,8.720517359991489e-10,8.57286910637902e-11
gas for industry CC,1.7996585455717211,1.7997875384349975,1.7997340062445752,1.799790934281957,1.7997340038524732,1.7997284688531836,1.7997739338288181,1.7998041547811938,1.7997383362939139,1.799804705421617,1.7998023460534371,1.799803144726567,1.7997909366813702
gas pipeline,0.7205026057232852,0.7202396164055203,0.7204249364946742,0.720550198226417,0.7204711632769056,0.7204901914449067,0.7205259069908517,0.7201782445591001,0.7201911228176918,0.7201673643271981,0.7201597893072554,0.7201269606120747,0.7205221430496651
gas pipeline new,0.007465630810825497,0.006887067891758346,0.00707028833057746,0.006767527321875929,0.00682497099095389,0.006706216161545098,0.006827410173588575,0.006630979219762599,0.0057527141362298684,0.005619035191588005,0.005628311454677731,0.005584928255187478,0.007420536506806661
generators-gas,7.218370479298819,6.776654046338517,7.2195594086001424,7.217798363724156,7.215842013315365,7.202649221441868,7.22839540180625,7.071294306267406,6.9684201690933465,6.893362814848707,6.81179759922402,6.748497028822305,7.250001643116854
home battery,8.42654961265822e-06,3.1530147781306677e-06,3.8363695517941945e-07,2.311983061704626e-07,2.2636269527789587e-07,2.532208088554694e-07,5.086638389440134e-07,1.5280098903819118e-05,7.51876518357617e-06,8.350355776032896e-06,1.1305950746403444e-05,2.8898095113069666e-06,2.490959413098587e-07
home battery charger,5.29175716789194e-06,1.7538733723608464e-06,2.592421443679355e-07,1.7286829797513178e-07,1.6860592428749228e-07,2.0783195030079893e-07,4.1675213830624444e-07,9.2572421346739e-06,4.4495744994891095e-06,5.3905530712445336e-06,7.3346126851883964e-06,1.9257372137548015e-06,1.759644496209163e-07
home battery discharger,5.319218188123761e-09,1.7552941541256805e-09,2.451004150696093e-10,1.8970529693225957e-10,1.735793706644154e-10,2.2478482287188918e-10,4.141305991272657e-10,8.958313258653118e-09,4.395268635542608e-09,5.131169758770777e-09,7.77289904885432e-09,1.8526009233976185e-09,1.8350501306384056e-10
hydro,18.347343261176555,18.34739799220393,18.34723973562211,18.347239729583922,18.347239696970018,18.34734829027968,18.347267094927304,18.347329348615258,18.34734841464988,18.347329368627353,18.34718719240636,18.347187264327946,18.347239735502036
industry methanol,8.56742299533952e-05,8.541503880166131e-05,9.099253472717542e-05,8.79886046619074e-05,9.099253472717542e-05,8.832274749423155e-05,8.601325071344384e-05,9.258924899129559e-05,8.837132775911236e-05,9.258924899129559e-05,8.618525154213306e-05,8.618525154213306e-05,8.79886046619074e-05
kerosene for aviation,0.0068694342719932385,0.007371570548950513,0.006713148395572101,0.006924796635283357,0.006713148395572101,0.007361301650498538,0.007660993422598438,0.007587715218797299,0.007935409951723411,0.007587715218797299,0.006694297187597079,0.006694297187597079,0.006924796635283357
methanol,0.4885941348404701,1.0583288203351795,0.001199319869493326,0.0012035063445718034,0.0012141044686993655,0.0012228485227268925,0.0012358797983384922,0.38042331180546723,0.44343750449210634,0.41733791306788587,0.41900694703506813,0.6408109219183754,0.0012317964300609444
methanolisation,6.601642989822528,6.5450566995683825,6.597404320442712,6.593173469696732,6.595490070454938,6.591926162211131,6.597270784969664,6.597394235354312,6.596748317299287,6.597262924431603,6.595773456772833,6.596767503004265,6.618642637074124
naphtha for industry,0.0028040711869663027,0.002884877938212381,0.0028752360920382917,0.003233964212103848,0.0028752360920382917,0.0033104066265680567,0.0030750179325123765,0.003259680000382012,0.0032500670580121725,0.003259680000382012,0.002835710976870237,0.002835710976870237,0.003233964212103848
nuclear,89.36925944026896,89.32337833817978,89.36357492522129,89.35687384810794,89.34461368668805,89.33426428722095,89.3278414035936,89.3598450841307,89.35518024094077,89.3513044174525,89.35000948011972,89.3483299995642,89.36877529664214
offwind-ac,22.77596686073809,23.394094731590364,22.75706568612395,22.58864306822926,22.37159201831628,21.81097025206745,21.384867111819702,22.723558888878276,22.723412093982336,22.695969547696635,22.620403189566368,22.636751796493368,22.54096755876047
offwind-dc,32.733616384592956,33.04927535102847,32.53556887248826,32.342968052623476,32.0029040644729,31.793630322272143,31.518790686985337,32.620115341428885,32.604453130713715,32.614791467531845,32.54259064323581,32.54090474481165,32.07529885592757
